symbol,bids,asks,timestamp,datetime,nonce
BTC/USD,"[54200.8, 0.111, 1725757558]","[54324.0, 0.488, 1725757559]",,,
BTC/USD,"[54199.9, 0.02, 1725757690]","[54324.9, 1.755, 1725757669]",,,
BTC/USD,"[54199.7, 0.488, 1725757558]","[54326.1, 0.012, 1725757683]",,,
BTC/USD,"[54199.2, 0.001, 1725757540]","[54327.0, 0.003, 1725757666]",,,
BTC/USD,"[54197.6, 0.02, 1725757664]","[54327.6, 0.111, 1725757558]",,,
BTC/USD,"[54196.5, 0.001, 1725757540]","[54328.8, 0.948, 1725757683]",,,
BTC/USD,"[54194.8, 0.003, 1725757669]","[54329.5, 0.488, 1725757558]",,,
BTC/USD,"[54193.8, 1.333, 1725757681]","[54331.7, 4.607, 1725757694]",,,
BTC/USD,"[54191.3, 0.488, 1725757531]","[54333.2, 0.1, 1725757680]",,,
BTC/USD,"[54191.0, 0.001, 1725757558]","[54334.9, 4.602, 1725757679]",,,
BTC/USD,"[54189.1, 1.236, 1725757681]","[54335.0, 0.488, 1725757558]",,,
BTC/USD,"[54188.3, 0.001, 1725757531]","[54338.1, 0.027, 1725751051]",,,
BTC/USD,"[54185.8, 0.488, 1725757693]","[54338.9, 1.611, 1725757683]",,,
BTC/USD,"[54185.6, 0.001, 1725757601]","[54339.6, 1.284, 1725757681]",,,
BTC/USD,"[54182.9, 0.001, 1725757532]","[54340.1, 0.255, 1725757474]",,,
BTC/USD,"[54180.2, 0.001, 1725757679]","[54340.5, 0.488, 1725757693]",,,
BTC/USD,"[54177.5, 0.001, 1725757533]","[54341.1, 0.13, 1725757691]",,,
BTC/USD,"[54176.7, 1.415, 1725757681]","[54343.4, 0.082, 1725744273]",,,
BTC/USD,"[54175.1, 0.024, 1725757613]","[54345.2, 0.001, 1725752583]",,,
BTC/USD,"[54174.8, 0.001, 1725757682]","[54352.0, 1.337, 1725757681]",,,
BTC/USD,"[54172.1, 0.001, 1725757543]","[54356.7, 1.343, 1725757681]",,,
BTC/USD,"[54169.4, 0.001, 1725757531]","[54357.0, 0.488, 1725757647]",,,
BTC/USD,"[54166.7, 0.001, 1725757492]","[54358.2, 0.075, 1725757691]",,,
BTC/USD,"[54166.2, 43.479, 1725757693]","[54358.3, 2.153, 1725757669]",,,
BTC/USD,"[54166.1, 4.616, 1725757563]","[54358.9, 2.127, 1725757559]",,,
BTC/USD,"[54164.0, 0.001, 1725757503]","[54361.1, 1.251, 1725757681]",,,
BTC/USD,"[54161.3, 0.019, 1725757688]","[54361.4, 1.583, 1725757683]",,,
BTC/USD,"[54161.2, 0.001, 1725757389]","[54362.5, 0.488, 1725757647]",,,
BTC/USD,"[54158.6, 1.343, 1725757651]","[54368.0, 0.062, 1725757693]",,,
BTC/USD,"[54158.5, 0.001, 1725757491]","[54368.1, 1.204, 1725757679]",,,
BTC/USD,"[54158.3, 0.971, 1725757648]","[54373.5, 0.488, 1725757681]",,,
BTC/USD,"[54155.8, 0.001, 1725757641]","[54374.5, 4.598, 1725757559]",,,
BTC/USD,"[54153.1, 0.001, 1725757493]","[54375.7, 1.323, 1725757651]",,,
