symbol,bid_price,bid_vol,bid_datetime,bid_timestamp,ask_price,ask_vol,ask_datetime,ask_timestamp
BTC/USD,54261.9,27.938,2024-09-08 01:08:14,1725757694,54262.0,0.022,2024-09-08 01:07:41,1725757661
BTC/USD,54261.4,0.092,2024-09-08 01:08:13,1725757693,54268.5,0.022,2024-09-08 01:08:00,1725757680
BTC/USD,54259.5,0.01,2024-09-08 01:08:13,1725757693,54271.7,0.001,2024-09-08 00:50:01,1725756601
BTC/USD,54258.5,0.14,2024-09-08 01:08:07,1725757687,54272.3,0.001,2024-09-08 01:08:14,1725757694
BTC/USD,54258.4,0.017,2024-09-08 01:08:03,1725757683,54272.4,0.423,2024-09-08 01:08:14,1725757694
BTC/USD,54256.4,0.488,2024-09-08 01:08:13,1725757693,54273.0,0.488,2024-09-08 01:08:13,1725757693
BTC/USD,54256.1,0.001,2024-09-08 01:08:08,1725757688,54273.6,4.607,2024-09-08 01:08:14,1725757694
BTC/USD,54255.7,0.664,2024-09-08 01:08:13,1725757693,54273.8,0.114,2024-09-08 01:08:14,1725757694
BTC/USD,54255.6,0.104,2024-09-08 01:08:13,1725757693,54275.0,0.022,2024-09-08 01:07:27,1725757647
BTC/USD,54253.6,0.774,2024-09-08 01:08:02,1725757682,54275.2,4.607,2024-09-08 01:08:14,1725757694
BTC/USD,54253.5,0.04,2024-09-08 01:08:13,1725757693,54276.6,4.607,2024-09-08 01:08:14,1725757694
BTC/USD,54253.4,0.001,2024-09-08 01:08:08,1725757688,54277.3,0.001,2024-09-08 01:08:13,1725757693
BTC/USD,54253.0,0.335,2024-09-08 01:08:13,1725757693,54277.6,0.001,2024-09-08 01:08:13,1725757693
BTC/USD,54251.7,0.172,2024-09-08 01:08:13,1725757693,54278.5,0.488,2024-09-08 01:08:14,1725757694
BTC/USD,54251.6,5.995,2024-09-08 01:08:13,1725757693,54279.4,0.001,2024-09-08 01:08:05,1725757685
BTC/USD,54251.5,1.175,2024-09-08 01:08:11,1725757691,54279.6,0.112,2024-09-08 01:08:14,1725757694
BTC/USD,54250.7,4.609,2024-09-08 01:08:08,1725757688,54280.7,4.606,2024-09-08 01:08:14,1725757694
BTC/USD,54250.1,0.488,2024-09-08 01:08:02,1725757682,54280.9,0.01,2024-09-08 01:08:14,1725757694
BTC/USD,54249.1,1.076,2024-09-08 01:08:03,1725757683,54281.2,0.001,2024-09-08 00:39:48,1725755988
BTC/USD,54248.0,0.001,2024-09-08 01:08:13,1725757693,54281.5,0.022,2024-09-08 01:05:49,1725757549
BTC/USD,54246.9,0.867,2024-09-08 01:08:12,1725757692,54283.3,0.001,2024-09-08 01:08:15,1725757695
BTC/USD,54245.3,0.001,2024-09-08 01:08:09,1725757689,54283.4,0.651,2024-09-08 01:06:09,1725757569
BTC/USD,54244.6,0.488,2024-09-08 01:08:03,1725757683,54285.1,0.04,2024-09-08 01:08:02,1725757682
BTC/USD,54242.5,0.001,2024-09-08 01:08:09,1725757689,54285.2,1.186,2024-09-08 01:08:13,1725757693
BTC/USD,54241.9,0.024,2024-09-08 01:08:13,1725757693,54285.5,0.488,2024-09-08 01:07:46,1725757666
BTC/USD,54240.7,0.008,2024-09-08 01:08:04,1725757684,54287.8,0.664,2024-09-08 01:08:13,1725757693
BTC/USD,54240.6,0.008,2024-09-08 01:08:02,1725757682,54287.9,0.016,2024-09-08 01:08:01,1725757681
BTC/USD,54240.5,0.007,2024-09-08 01:08:13,1725757693,54288.0,0.796,2024-09-08 01:08:01,1725757681
BTC/USD,54239.8,0.001,2024-09-08 01:08:09,1725757689,54291.0,0.488,2024-09-08 01:05:31,1725757531
BTC/USD,54237.8,4.61,2024-09-08 01:08:08,1725757688,54291.3,0.001,2024-09-08 00:47:37,1725756457
BTC/USD,54237.1,0.001,2024-09-08 01:08:09,1725757689,54292.0,0.846,2024-09-08 01:08:03,1725757683
BTC/USD,54236.2,0.029,2024-09-08 01:08:05,1725757685,54293.1,0.004,2024-09-08 01:08:04,1725757684
BTC/USD,54235.1,1.713,2024-09-08 01:07:49,1725757669,54294.5,0.022,2024-09-08 01:08:01,1725757681
BTC/USD,54234.6,0.1,2024-09-08 01:08:12,1725757692,54295.0,0.04,2024-09-08 01:08:13,1725757693
BTC/USD,54234.4,0.001,2024-09-08 01:08:10,1725757690,54296.5,0.488,2024-09-08 01:07:59,1725757679
BTC/USD,54232.3,0.488,2024-09-08 01:07:15,1725757635,54297.3,4.605,2024-09-08 01:08:01,1725757681
BTC/USD,54231.7,0.001,2024-09-08 01:07:07,1725757627,54297.5,1.196,2024-09-08 01:08:13,1725757693
BTC/USD,54231.4,0.041,2024-09-08 01:08:01,1725757681,54297.7,0.02,2024-09-08 01:08:07,1725757687
BTC/USD,54229.0,0.001,2024-09-08 01:07:02,1725757622,54299.1,0.024,2024-09-08 01:08:13,1725757693
BTC/USD,54226.8,0.488,2024-09-08 01:07:28,1725757648,54299.6,0.001,2024-09-08 01:07:27,1725757647
BTC/USD,54226.3,0.001,2024-09-08 01:06:48,1725757608,54300.0,0.093,2024-09-08 01:08:13,1725757693
BTC/USD,54223.6,0.001,2024-09-08 01:06:56,1725757616,54300.8,0.335,2024-09-08 01:08:14,1725757694
BTC/USD,54223.2,4.607,2024-09-08 01:08:13,1725757693,54301.0,0.022,2024-09-08 01:08:12,1725757692
BTC/USD,54223.1,0.092,2024-09-08 01:07:19,1725757639,54301.1,0.391,2024-09-08 01:08:13,1725757693
BTC/USD,54222.0,0.01,2024-09-08 01:08:05,1725757685,54302.0,0.488,2024-09-08 01:07:01,1725757621
BTC/USD,54220.9,0.001,2024-09-08 01:06:05,1725757565,54305.0,4.604,2024-09-08 01:08:13,1725757693
BTC/USD,54220.0,0.003,2024-09-08 01:06:01,1725757561,54305.2,0.878,2024-09-08 01:08:14,1725757694
